cnt,  avg,      p90,      badavg,   badp90
100, 1.110759, 1.181938, 1.283619, 1.396930
125, 1.110448, 1.174086, 1.297986, 1.406138
150, 1.110822, 1.166825, 1.308479, 1.414951
175, 1.110197, 1.164256, 1.309353, 1.413535
200, 1.110930, 1.163628, 1.317709, 1.410110
225, 1.109038, 1.157368, 1.324823, 1.416899
250, 1.108962, 1.156247, 1.329741, 1.420177
275, 1.109719, 1.156933, 1.333343, 1.418469
300, 1.110563, 1.156738, 1.333952, 1.419547
325, 1.106356, 1.149948, 1.342603, 1.422695
350, 1.107398, 1.149514, 1.344337, 1.419316
375, 1.106043, 1.148827, 1.345222, 1.423313
400, 1.106990, 1.149324, 1.347306, 1.422895
425, 1.105486, 1.147150, 1.348685, 1.421827
450, 1.107455, 1.146564, 1.349981, 1.420552
475, 1.106389, 1.144233, 1.355037, 1.421344
500, 1.105739, 1.145444, 1.353773, 1.424395
525, 1.104194, 1.143236, 1.356447, 1.421875
550, 1.104647, 1.143800, 1.358329, 1.423767
575, 1.106637, 1.141811, 1.360246, 1.425407
600, 1.102548, 1.139888, 1.359956, 1.422331
625, 1.103717, 1.138616, 1.362095, 1.425061
650, 1.103172, 1.139004, 1.363311, 1.424538
675, 1.102034, 1.137202, 1.365520, 1.426688
700, 1.103863, 1.138313, 1.365925, 1.424289
725, 1.104319, 1.138509, 1.366564, 1.427235
750, 1.099842, 1.135499, 1.367077, 1.426513
775, 1.101108, 1.136396, 1.368551, 1.424824
800, 1.103478, 1.136329, 1.371251, 1.426469
825, 1.104244, 1.136747, 1.369630, 1.426282
850, 1.099787, 1.134197, 1.371227, 1.424190
875, 1.102234, 1.135509, 1.371778, 1.427839
900, 1.102460, 1.136007, 1.370480, 1.425146
925, 1.101490, 1.135971, 1.373009, 1.425861
950, 1.101575, 1.133238, 1.372862, 1.424433
975, 1.100523, 1.133271, 1.373035, 1.425372
1000, 1.098205, 1.131680, 1.376722, 1.428191
1025, 1.099844, 1.131102, 1.377377, 1.426639
1050, 1.098916, 1.132802, 1.377801, 1.426923
1075, 1.101036, 1.130229, 1.376933, 1.426906
1100, 1.101043, 1.130012, 1.378688, 1.427930
1125, 1.100985, 1.130385, 1.378276, 1.429018
1150, 1.100925, 1.131561, 1.376896, 1.429312
1175, 1.100172, 1.130859, 1.380702, 1.428033
1200, 1.099220, 1.129287, 1.377332, 1.426678
1225, 1.098622, 1.130546, 1.381476, 1.427243
1250, 1.097805, 1.130820, 1.379509, 1.425869
1275, 1.097789, 1.128788, 1.380609, 1.427000
1300, 1.100185, 1.129038, 1.379893, 1.427605
1325, 1.097846, 1.126528, 1.382233, 1.429252
1350, 1.098405, 1.128251, 1.383252, 1.428790
1375, 1.096691, 1.127743, 1.381382, 1.426922
1400, 1.097865, 1.128027, 1.382490, 1.430922
1425, 1.097053, 1.125775, 1.383283, 1.428030
1450, 1.096532, 1.125649, 1.384032, 1.427078
1475, 1.096966, 1.127434, 1.384193, 1.429978
1500, 1.098647, 1.127393, 1.385525, 1.428683
1525, 1.096337, 1.126864, 1.384161, 1.429449
1550, 1.097399, 1.126514, 1.385030, 1.429075
1575, 1.096539, 1.125412, 1.385648, 1.429805
1600, 1.096787, 1.125772, 1.385949, 1.429920
